status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1252406928126387_1903824699651270,,,status,,2018-04-25 23:40:08,7,0,0,7,0,0,0,0,0
1252406928126387_1903609896339417,"Recent Guest Reviews:

""This place is charming! The interior is beautifully decorated, with extra touches all around. The outside is peaceful and quiet, with trails to walk and enjoy the outdoors, or a screened in porch to relax and reflect."" --Tiara

""If you're looking for something local to Kansas City, yet feel so far away hidden in nature with the beautiful ambience this is your place. It was a super quiet and peaceful place that enabled us to connect and embrace everything around! It was super cozy, very spacious and inviting for all. We will definitely make this one of our must visit again places for a longer period next time."" - Michelle

""The retreat is definitely worth a visit! So much so that we already want to come back. You can't beat the coziness of the guesthouse and treehouse. Stan and Denise are lovely and put so many wonderful touches into everything. I need more than five stars to rate it!"" - -Megan",Hidden Valley Wilderness Retreat,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1729622453738163/?type=3,2018-04-25 17:49:00,51,3,14,40,10,1,0,0,0
1252406928126387_1861443093889431,"https://www.facebook.com/bosseconstructionservices/

Darrel and Sue Bosse,  from Bosse Construction, made this cedar table and several other beautiful pieces! Thank you:) These two are amazing professionals ! A coating of poly this morning - look at this wood beauty!! Getting furniture ready for treehouse!",,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1861442997222774/?type=3,2018-03-17 14:45:15,9,0,0,8,1,0,0,0,0
1252406928126387_1828441337189607,"Following a few months of recovery from an unfortunate accident, Graham's Cove Treehouse is under construction! This will be a rustic treehouse retreat space. Building plans: Nelson's Treehouse Masters.",,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1828441300522944/?type=3,2018-02-15 10:25:34,37,4,2,27,9,1,0,0,0
1252406928126387_1817186881648386,"It is a beautiful snow day here in 'The Valley'! We are open for guests - booking 3 months out. For booking dates further out, please contact us directly.",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1817184561648618/?type=3,2018-02-04 18:46:36,18,0,0,14,4,0,0,0,0
1252406928126387_1729733897060352,"Hidden Valley Wilderness Retreat is located only 8 miles north of Leavenworth, Kansas in a peaceful valley of trees, birds and wildlife. Plan your escape for rejuvenation today!!   #treehouse #hiking #LeavenworthKS #FortLeavenworth #Nature #Airbnb Colin Joseph Burke - photographer",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1729622453738163/?type=3,2017-11-11 22:21:53,47,17,44,42,5,0,0,0,0
1252406928126387_1724708780896197,"Fall is giving beautiful colors here at Hidden Valley Wilderness Retreat! If you want to experience a peaceful getaway before the holiday rush, come stay in a treehouse and Retreat suite!",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1724707087563033/?type=3,2017-11-06 14:43:19,19,1,3,16,2,1,0,0,0
1252406928126387_1715455625154846,,Leavenworth County Historical Society,link,http://leavenworthhistory.org/Tour_of_Homes.htm,2017-10-27 19:31:52,0,0,0,0,0,0,0,0,0
1252406928126387_1706627516037657,https://abnb.me/EVmg/YOVqVzhiiH,Check out my listing in Easton,link,https://abnb.me/EVmg/YOVqVzhiiH,2017-10-18 10:40:06,12,0,6,12,0,0,0,0,0
1252406928126387_1703178236382585,"A gentle October rainfall makes for a peaceful day at Hidden Valley! An author uses the inspiration to write, a tired soul snoozes on their enclosed patio and the smell of baking chocolate chip cookies on this rainy day comes from the retreat kitchen. We still have open days this fall, book today! #treehouse #hiking #airbnb #ftleavenworthks",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1703178159715926/?type=3,2017-10-14 14:57:14,13,0,1,13,0,0,0,0,0
1252406928126387_1680547775312298,"Escape for a fall retreat in Burr Oak Treehouse at Hidden Valley Wilderness Retreat! Book Now for a few remaining days in September and October! These amazing fall colors will be vibrant in the next few weeks! (Most pics taken fall 2016) Located 8 miles north of Leavenworth, Kansas.
#treehouse #hiking #fortleavenworth #Leavenworth #Airbnb #Atchison #stbenedictinecollege",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1680547458645663/?type=3,2017-09-19 17:31:52,13,0,1,12,1,0,0,0,0
1252406928126387_1678737822159960,"Thank you, Jacqueline, for sharing! Come back soon!",Jacquie,photo,https://www.facebook.com/photo.php?fbid=10211806058920956&set=p.10211806058920956&type=3,2017-09-17 18:32:11,9,0,0,9,0,0,0,0,0
1252406928126387_1673902775976798,,'s cover photo,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1252417541458659.1073741828.1252406928126387/1673902752643467/?type=3,2017-09-12 08:06:23,24,4,0,19,5,0,0,0,0
